ID,CallName,CallDefLoc,ReturnType,NormalReturn,ErrorReturn
23,fstatat,/usr/include/x86_64-linux-gnu/sys/stat.h,INT,fstatat_0==0,fstatat_0==-1
24,fstatfs,/usr/include/x86_64-linux-gnu/sys/mount.h,INT,fstatfs_0==0,fstatfs_0==-1
25,fsync,/usr/include/unistd.h,INT,fsync_0==0,fsync_0==-1
26,ftruncate,/usr/include/unistd.h,INT,ftruncate_0==0,ftruncate_0==-1
27,gethostname,/usr/include/unistd.h,INT,gethostname_0==0,gethostname_0==-1
28,getifaddrs,/usr/include/ifaddrs.h,INT,getifaddrs_0==0,getifaddrs_0==-1
29,getpeername,/usr/include/x86_64-linux-gnu/sys/socket.h,INT,getpeername_0==0,getpeername_0==-1
30,getrlimit,/usr/include/x86_64-linux-gnu/sys/resource.h,INT,getrlimit_0==0,getrlimit_0==-1
31,getrusage,/usr/include/x86_64-linux-gnu/sys/resource.h,INT,getrusage_0==0,getrusage_0==-1
32,getsockname,/usr/include/x86_64-linux-gnu/sys/socket.h,INT,getsockname_0==0,getsockname_0==-1
33,getsockopt,/usr/include/x86_64-linux-gnu/sys/socket.h,INT,getsockopt_0==0,getsockopt_0==-1
34,gettimeofday,/usr/include/x86_64-linux-gnu/sys/time.h,INT,gettimeofday_0==0,gettimeofday_0==-1
35,initgroups,/usr/include/unistd.h,INT,initgroups_0==0,initgroups_0==-1
36,ioctl,/usr/include/x86_64-linux-gnu/sys/ioctl.h,INT,ioctl_0==0,ioctl_0==-1
37,kill,/usr/include/signal.h,INT,kill_0==0,kill_0==-1
38,link,/usr/include/unistd.h,INT,link_0==0,link_0==-1
39,listen,/usr/include/x86_64-linux-gnu/sys/socket.h,INT,listen_0==0,listen_0==-1
40,lstat,/usr/include/x86_64-linux-gnu/sys/stat.h,INT,lstat_0==0,lstat_0==-1
41,mkdir,/usr/include/x86_64-linux-gnu/sys/stat.h,INT,mkdir_0==0,mkdir_0==-1
